,ds,y
139,2022-09-30 02:00:00,1326.39
140,2022-09-30 03:00:00,1327.49
141,2022-09-30 04:00:00,1328.49
142,2022-09-30 05:00:00,1329.87
143,2022-09-30 06:00:00,1332.98
144,2022-09-30 07:00:00,1339.88
145,2022-09-30 08:00:00,1348.6
146,2022-09-30 09:00:00,1342.47
147,2022-09-30 10:00:00,1337.08
148,2022-09-30 11:00:00,1330.8
149,2022-09-30 12:00:00,1327.48
150,2022-09-30 13:00:00,1335.63
151,2022-09-30 14:00:00,1360.09
152,2022-09-30 15:00:00,1351.09
153,2022-09-30 16:00:00,1352.24
154,2022-09-30 17:00:00,1345.28
155,2022-09-30 18:00:00,1347.65
156,2022-09-30 19:00:00,1337.56
157,2022-09-30 20:00:00,1331.73
158,2022-09-30 21:00:00,1323.18
159,2022-09-30 22:00:00,1322.49
160,2022-09-30 23:00:00,1328.72
161,2022-10-01 00:00:00,1327.36
162,2022-10-01 01:00:00,1331.49
163,2022-10-01 02:00:00,1330.16
164,2022-10-01 03:00:00,1329.61
165,2022-10-01 04:00:00,1328.93
166,2022-10-01 05:00:00,1329.16
167,2022-10-01 06:00:00,1327.64
168,2022-10-01 07:00:00,1328.81
169,2022-10-01 08:00:00,1331.62
170,2022-10-01 09:00:00,1330.78
171,2022-10-01 10:00:00,1329.63
172,2022-10-01 11:00:00,1325.42
173,2022-10-01 12:00:00,1323.05
174,2022-10-01 13:00:00,1325.93
175,2022-10-01 14:00:00,1322.82
176,2022-10-01 15:00:00,1322.63
177,2022-10-01 16:00:00,1310.95
178,2022-10-01 17:00:00,1313.29
179,2022-10-01 18:00:00,1315.64
180,2022-10-01 19:00:00,1311.96
181,2022-10-01 20:00:00,1309.52
182,2022-10-01 21:00:00,1313.21
183,2022-10-01 22:00:00,1312.79
184,2022-10-01 23:00:00,1311.79
185,2022-10-02 00:00:00,1310.55
186,2022-10-02 01:00:00,1307.89
187,2022-10-02 02:00:00,1310.75
188,2022-10-02 03:00:00,1309.55
189,2022-10-02 04:00:00,1312.88
190,2022-10-02 05:00:00,1313.0
191,2022-10-02 06:00:00,1312.5
192,2022-10-02 07:00:00,1311.14
193,2022-10-02 08:00:00,1309.99
194,2022-10-02 09:00:00,1307.0
195,2022-10-02 10:00:00,1289.62
196,2022-10-02 11:00:00,1297.87
197,2022-10-02 12:00:00,1295.4
198,2022-10-02 13:00:00,1297.25
199,2022-10-02 14:00:00,1290.0
200,2022-10-02 15:00:00,1293.32
201,2022-10-02 16:00:00,1296.69
202,2022-10-02 17:00:00,1297.63
203,2022-10-02 18:00:00,1296.14
204,2022-10-02 19:00:00,1304.83
205,2022-10-02 20:00:00,1302.85
206,2022-10-02 21:00:00,1300.55
207,2022-10-02 22:00:00,1290.0
208,2022-10-02 23:00:00,1276.72
209,2022-10-03 00:00:00,1281.92
210,2022-10-03 01:00:00,1298.25
211,2022-10-03 02:00:00,1289.53
212,2022-10-03 03:00:00,1291.8
213,2022-10-03 04:00:00,1288.01
214,2022-10-03 05:00:00,1295.55
215,2022-10-03 06:00:00,1291.7
216,2022-10-03 07:00:00,1291.96
217,2022-10-03 08:00:00,1291.4
218,2022-10-03 09:00:00,1292.7
219,2022-10-03 10:00:00,1297.62
220,2022-10-03 11:00:00,1299.01
221,2022-10-03 12:00:00,1301.94
222,2022-10-03 13:00:00,1297.76
223,2022-10-03 14:00:00,1319.98
224,2022-10-03 15:00:00,1318.77
225,2022-10-03 16:00:00,1320.46
226,2022-10-03 17:00:00,1325.84
227,2022-10-03 18:00:00,1317.6
228,2022-10-03 19:00:00,1317.9
229,2022-10-03 20:00:00,1323.59
230,2022-10-03 21:00:00,1318.04
231,2022-10-03 22:00:00,1315.54
232,2022-10-03 23:00:00,1323.09
233,2022-10-04 00:00:00,1321.6
234,2022-10-04 01:00:00,1319.48
235,2022-10-04 02:00:00,1321.37
236,2022-10-04 03:00:00,1329.0
237,2022-10-04 04:00:00,1328.27
238,2022-10-04 05:00:00,1325.33
239,2022-10-04 06:00:00,1337.93
240,2022-10-04 07:00:00,1350.0
241,2022-10-04 08:00:00,1347.85
242,2022-10-04 09:00:00,1347.78
243,2022-10-04 10:00:00,1348.97
244,2022-10-04 11:00:00,1349.74
245,2022-10-04 12:00:00,1353.79
246,2022-10-04 13:00:00,1353.44
247,2022-10-04 14:00:00,1350.93
248,2022-10-04 15:00:00,1353.93
249,2022-10-04 16:00:00,1347.44
250,2022-10-04 17:00:00,1347.35
251,2022-10-04 18:00:00,1350.48
252,2022-10-04 19:00:00,1354.72
253,2022-10-04 20:00:00,1361.31
254,2022-10-04 21:00:00,1357.74
255,2022-10-04 22:00:00,1359.07
256,2022-10-04 23:00:00,1361.49
257,2022-10-05 00:00:00,1354.18
258,2022-10-05 01:00:00,1354.64
259,2022-10-05 02:00:00,1356.29
260,2022-10-05 03:00:00,1353.95
261,2022-10-05 04:00:00,1350.63
262,2022-10-05 05:00:00,1352.57
263,2022-10-05 06:00:00,1356.31
264,2022-10-05 07:00:00,1353.19
265,2022-10-05 08:00:00,1344.38
266,2022-10-05 09:00:00,1343.52
267,2022-10-05 10:00:00,1345.67
268,2022-10-05 11:00:00,1335.05
269,2022-10-05 12:00:00,1332.51
270,2022-10-05 13:00:00,1323.75
271,2022-10-05 14:00:00,1323.38
272,2022-10-05 15:00:00,1330.35
273,2022-10-05 16:00:00,1350.93
274,2022-10-05 17:00:00,1348.5
275,2022-10-05 18:00:00,1357.39
276,2022-10-05 19:00:00,1350.63
277,2022-10-05 20:00:00,1345.02
278,2022-10-05 21:00:00,1348.26
